url,title,summary,datePublished,dateAdded,authorName,authorUrl
https://treshautdebit.substack.com/p/coder-son-site-web-dernier-geste,Internet est mort. Voici comment le ressusciter. (The internet is dead. Here's how to resurrect it.),,2025-11-06,2025-11-26,Arnaud Pessey,https://treshautdebit.substack.com/
https://smolweb.org/guidelines.html,Guidelines for a smolweb,,2025-11-06,2026-01-19,--,
https://outerweb.org/about,About the Outer Web Navicomputer,,--,2026-01-19,Robert and Chris,
https://www.jackcheng.com/the-slow-web/,The Slow Web,,2012-06-01,2026-01-19,Jack Cheng,https://www.jackcheng.com/
https://vhbelvadi.com/manifesto,Manifesto: A call for individuals to take back rights and control of the web,,--,2026-01-19,V.H. Belvadi,https://vhbelvadi.com/
https://www.alanwsmith.com/en/2v/xa/cn/vj/,A Vision For The Web,,2025-04-10,2026-01-19,Alan W. Smith,https://www.alanwsmith.com/
https://offlinecrush.substack.com/p/how-to-use-the-internet-again-a-curriculum,how to use the internet again: a curriculum,,2025-10-23,2026-01-19,Brooklyn Gibbs,https://substack.com/@brooklyngibbs
https://henry.codes/writing/a-website-to-destroy-all-websites/,A website to destroy all websites.,,--,2026-01-19,Henry Desroches,https://henry.codes/
https://unplatform.fromthesuperhighway.com/,Unplatform: The definitive guide for escaping social media (and joining the indie web.),,2025-01-19,2025-05-24,Damian Thomas,https://ajazz.neocities.org/
https://nora.zone/manifesto.html,You should have a website,,2024-12-03,2025-05-24,Nora Reed,https://nora.zone/
https://thehistoryoftheweb.com/our-online-homes-need-infastructure/,Our Online Homes Need Infastructure,,2025-03-25,2025-03-31,Jay Hoffmann,https://jayhoffmann.com/
https://lagunab.com/magazine/essay-there-is-no-nice-web-yet-by-bri-griffin,There is no ‘Nice’ Web. Yet,,2025-03-14,2025-03-26,Bri Griffin,https://bgriffin.work/
https://blog.neocities.org/blog/2013/05/28/making-the-web-fun-again,Making the Web Fun Again,,2013-05-28,2025-03-22,Kyle Drake,https://kyledrake.net/
https://osteophage.neocities.org/writing/in-praise-of-links,In Praise of Links,,2025-03-09,2025-05-24,Coyote,https://osteophage.neocities.org/
https://thecreativeindependent.com/guides/how-to-make-a-website-for-your-creative-work/,How to make a website for your creative work,,2019-01-10,2025-05-24,Jason Huff,http://jason-huff.com/
https://vanschneider.com/blog/portfolio-tips/a-love-letter-to-personal-websites/,A love letter to my website,,2019-09-17,2025-05-24,Tobias van Schneider,https://vanschneider.com/
